Yeary,Monthy,Day,Time UTC,Mag,Lat,Lon,Depth km,Region,IRIS ID,Timestamp
2018,12,2,04:44:00,4.2,39.7671,74.4116,53.3,"SOUTHERN XINJIANG, CHINA",10977743,1543725840
2018,11,25,23:18:06,4.1,39.8111,73.6973,10,TAJIKISTAN-XINJIANG BORDER REG.,10974469,1543187886
2018,10,30,02:22:21,4.9,39.4737,75.1416,20.4,"SOUTHERN XINJIANG, CHINA",10965450,1540866141
2018,10,19,13:25:46,5.1,38.4095,73.8932,123,TAJIKISTAN-XINJIANG BORDER REG.,10961445,1539955546
2018,10,15,14:12:56,4.4,38.2993,75.4685,131.6,"SOUTHERN XINJIANG, CHINA",10959660,1539612776
2018,10,10,01:48:48,4.5,39.7185,73.9316,44.4,TAJIKISTAN-XINJIANG BORDER REG.,10957698,1539136128
2018,10,8,14:48:02,4.6,39.4189,75.1609,27.1,"SOUTHERN XINJIANG, CHINA",10957361,1539010082
2018,9,4,02:51:30,4.4,39.5584,76.6279,35.9,"SOUTHERN XINJIANG, CHINA",10943712,1536029490
2018,8,8,20:19:35,4.2,39.1865,74.1395,41.4,"SOUTHERN XINJIANG, CHINA",10932813,1533759575
2018,7,12,19:46:47,5.1,38.4099,73.4757,125.4,TAJIKISTAN-XINJIANG BORDER REG.,10908652,1531424807
2018,6,6,14:51:07,4.3,37.595,75.7516,54.7,TAJIKISTAN-XINJIANG BORDER REG.,10895294,1528296667
2018,5,8,00:44:12,4.4,39.9788,75.9532,24.8,"SOUTHERN XINJIANG, CHINA",10770411,1525740252
2018,5,6,03:17:22,4.6,39.4847,73.3932,36,TAJIKISTAN-XINJIANG BORDER REG.,10769433,1525576642
2018,5,4,10:43:53,4.4,39.7426,74.661,63,"SOUTHERN XINJIANG, CHINA",10768373,1525430633
2018,4,3,08:14:42,5.1,39.7523,74.4652,36.2,"SOUTHERN XINJIANG, CHINA",10723738,1522743282
2018,3,12,06:33:16,4.2,38.3446,74.9053,140.3,TAJIKISTAN-XINJIANG BORDER REG.,10684443,1520836396
2018,3,3,23:05:47,4.8,39.6441,73.9572,47.8,TAJIKISTAN-XINJIANG BORDER REG.,10681224,1520118347
2018,2,14,23:21:44,4.2,38.3834,73.7817,135.7,TAJIKISTAN-XINJIANG BORDER REG.,10681278,1518650504
2018,2,14,22:30:55,4.1,39.4707,73.3862,10,TAJIKISTAN-XINJIANG BORDER REG.,10682896,1518647455
2018,1,17,03:48:14,4.3,38.1667,74.0871,168.7,TAJIKISTAN-XINJIANG BORDER REG.,10605594,1516160894
2018,1,15,02:58:50,4.5,38.2562,73.9154,52.3,TAJIKISTAN-XINJIANG BORDER REG.,10605006,1515985130
2018,1,8,04:18:51,4.2,39.602,73.288,45.7,TAJIKISTAN-XINJIANG BORDER REG.,10602122,1515385131
2018,1,5,07:52:52,4.1,38.1585,74.324,175,TAJIKISTAN-XINJIANG BORDER REG.,10601217,1515138772
2018,1,4,19:53:54,4.3,38.6691,73.647,109.7,TAJIKISTAN-XINJIANG BORDER REG.,10600923,1515095634
2017,12,25,21:02:24,4.8,39.4727,73.6696,40.4,TAJIKISTAN-XINJIANG BORDER REG.,10598157,1514235744
2017,12,12,17:20:31,4.3,39.6756,74.1255,49.5,"SOUTHERN XINJIANG, CHINA",10563158,1513099231
2017,12,3,17:50:19,4.6,39.2819,74.2862,63.7,"SOUTHERN XINJIANG, CHINA",10560108,1512323419
2017,11,21,13:15:20,4.3,38.3885,75.4981,136.9,"SOUTHERN XINJIANG, CHINA",10556485,1511270120
2017,11,10,20:53:38,5,38.2556,73.9098,36,TAJIKISTAN-XINJIANG BORDER REG.,10485322,1510347218
2017,11,7,16:28:46,4.7,39.5863,73.6628,52.6,TAJIKISTAN-XINJIANG BORDER REG.,10452899,1510072126
2017,11,5,20:54:25,4.3,38.468,73.4216,119.6,TAJIKISTAN-XINJIANG BORDER REG.,10452378,1509915265
2017,10,29,15:15:36,4,38.2264,74.6487,146,TAJIKISTAN-XINJIANG BORDER REG.,10449947,1509290136
2017,10,25,21:02:16,4.5,37.2437,75.3327,41.1,TAJIKISTAN-XINJIANG BORDER REG.,10448443,1508965336
2017,10,24,12:54:09,4.4,38.3511,73.9708,137.7,TAJIKISTAN-XINJIANG BORDER REG.,10447973,1508849649
2017,10,15,00:58:00,4.4,38.6645,76.151,56.5,"SOUTHERN XINJIANG, CHINA",10453618,1508029080
2017,9,9,07:48:36,4.2,38.8091,74.9524,10,TAJIKISTAN-XINJIANG BORDER REG.,10402591,1504943316
